Generation,Best_Pearson_r,Population_Mean_r,Weight_RTT,Weight_UTIL
100,0.7663794384225203,0.7660205090153367,0.5809454832250976,0.4190545167749023
101,0.7663794384225203,0.7660245664710605,0.5809454832250976,0.4190545167749023
102,0.7663794384225203,0.766023888058613,0.5809454832250976,0.4190545167749023
103,0.7663794384225203,0.7659596484519527,0.5809454832250976,0.4190545167749023
104,0.7663794384225203,0.7659421507689091,0.5809454832250976,0.4190545167749023
105,0.7663794384225203,0.7660227881194979,0.5809454832250976,0.4190545167749023
106,0.7663794384225203,0.7660327589115029,0.5809454832250976,0.4190545167749023
107,0.7663794384225203,0.7660431755307343,0.5809454832250976,0.4190545167749023
108,0.7663794384225203,0.7660487710297051,0.5809454832250976,0.4190545167749023
109,0.7663794384225203,0.7660096333844516,0.5809454832250976,0.4190545167749023
110,0.7663794384225203,0.7660783209224528,0.5809454832250976,0.4190545167749023
111,0.7663794384225203,0.7660045595191353,0.5809454832250976,0.4190545167749023
112,0.7663794384225203,0.766049053270969,0.5809454832250976,0.4190545167749023
113,0.7663794384225203,0.7659543944673958,0.5809454832250976,0.4190545167749023
114,0.7663794384225203,0.7660472067791343,0.5809454832250976,0.4190545167749023
115,0.7663794384225203,0.7661429458437687,0.5809454832250976,0.4190545167749023
116,0.7663794384225203,0.7660073204717559,0.5809454832250976,0.4190545167749023
117,0.7663794384225203,0.7659466702285522,0.5809454832250976,0.4190545167749023
118,0.7663794384225203,0.7660621664295622,0.5809454832250976,0.4190545167749023
119,0.7663794384225203,0.7661365657762362,0.5809454832250976,0.4190545167749023
120,0.7663794384225203,0.7661012653525692,0.5809454832250976,0.4190545167749023
121,0.7663794384225203,0.7660835063944879,0.5809454832250976,0.4190545167749023
122,0.7663794384225203,0.7661169589741688,0.5809454832250976,0.4190545167749023
123,0.7663794384225203,0.7661168125088196,0.5809454832250976,0.4190545167749023
124,0.7663794384225203,0.7660785515237087,0.5809454832250976,0.4190545167749023
125,0.7663794384225203,0.7660061618329742,0.5809454832250976,0.4190545167749023
126,0.7663794384225203,0.7660967821468023,0.5809454832250976,0.4190545167749023
127,0.7663794384225203,0.766090213584256,0.5809454832250976,0.4190545167749023
128,0.7663794384225203,0.766000726852402,0.5809454832250976,0.4190545167749023
129,0.7663794384225203,0.7661024855955422,0.5809454832250976,0.4190545167749023
130,0.7663794384225203,0.7660792229037771,0.5809454832250976,0.4190545167749023
131,0.7663794384225203,0.7659818052669489,0.5809454832250976,0.4190545167749023
132,0.7663794384225203,0.7661281253375559,0.5809454832250976,0.4190545167749023
133,0.7663794384225203,0.7661547168974204,0.5809454832250976,0.4190545167749023
134,0.7663794384225203,0.7659884032975455,0.5809454832250976,0.4190545167749023
135,0.7663794384225203,0.7660313865438748,0.5809454832250976,0.4190545167749023
