Source_Sheet,Source_Excel_Row,RSSI_dBm,Link_Mbps,UTIL_percent,RTT_ms,PacketLoss_percent,Upload_Mbps,Download_Mbps,Actual_Mbps,Is_Congested,State,Environment,RSSI_Score_0_100,GA_Normalized_RTT,GA_Normalized_UTIL,GA_Congestion_Score_0_100,GA_Hybrid_Score_0_100,APQI_raw,APQI_Qualified,APQI_Score_0_100
MOVE_OPEN2_1H_R1,3,-50,1201.0,30,8,0.0,5.0213,68.3369,73.3582,False,정상,RSSI 변화 환경,88.67924528301887,0.9571428571428572,0.7126436781609196,85.46843718427209,88.67924528301887,5.167046391709492,True,72.18898532496321
MOVE_OPEN2_1H_R1,4,-50,1201.0,22,15,0.0,13.5989,63.4809,77.0798,False,정상,RSSI 변화 환경,88.67924528301887,0.9071428571428571,0.8045977011494253,86.41708463504224,88.67924528301887,5.497828508438828,True,77.6038674883956
MOVE_OPEN2_1H_R1,5,-54,1201.0,18,17,0.0,11.0891,68.0413,79.13040000000001,False,정상,RSSI 변화 환경,81.13207547169812,0.8928571428571429,0.8505747126436781,87.51384994959709,81.13207547169812,5.435569321397068,True,76.58468856555776
MOVE_OPEN2_1H_R1,6,-54,1201.0,21,6,0.0,17.1668,61.8526,79.0194,False,정상,RSSI 변화 환경,81.13207547169812,0.9714285714285714,0.8160919540229885,90.63340602842268,81.13207547169812,5.180506510412136,True,72.40932661004021
MOVE_OPEN2_1H_R1,7,-50,1201.0,19,4,3.3333,32.2023,66.5311,98.73339999999999,False,정상,RSSI 변화 환경,88.67924528301887,0.9857142857142858,0.8390804597701149,92.42667186403962,88.67924528301887,5.490082017207984,True,77.47705792078705
MOVE_OPEN2_1H_R1,8,-50,1201.0,14,7,0.0,4.6034,59.329,63.9324,False,정상,RSSI 변화 환경,88.67924528301887,0.9642857142857143,0.896551724137931,93.5901479775099,88.67924528301887,5.84291476974052,True,83.25290758658532
MOVE_OPEN2_1H_R1,9,-64,960.75,15,5,0.0,17.371,65.8588,83.2298,False,정상,RSSI 변화 환경,62.264150943396224,0.9785714285714285,0.8850574712643678,93.93839823804093,62.264150943396224,4.91787852245391,True,68.11012318975142
MOVE_OPEN2_1H_R1,10,-72,960.75,41,10,0.0,15.926,69.743,85.669,False,정상,RSSI 변화 환경,47.16981132075472,0.9428571428571428,0.5862068965517242,79.34012462339757,47.16981132075472,3.067461854695486,True,37.81892030298288
MOVE_OPEN2_1H_R1,11,-65,924.75,27,21,0.0,6.6995,42.0076,48.7071,False,정상,RSSI 변화 환경,60.37735849056604,0.8642857142857143,0.7471264367816092,81.51895898655349,60.37735849056604,3.410651491900039,True,43.43691278561262
MOVE_OPEN2_1H_R1,12,-71,924.75,13,7,0.0,4.8027,65.7867,70.5894,False,정상,RSSI 변화 환경,49.056603773584904,0.9642857142857143,0.9080459770114943,94.07181983587185,49.056603773584904,3.640376823301275,True,47.1975018156145
MOVE_OPEN2_1H_R1,13,-70,888.75,19,8,0.0,7.9496,18.7236,26.6732,False,정상,RSSI 변화 환경,50.943396226415096,0.9571428571428572,0.8390804597701149,90.76682762625362,50.943396226415096,3.1780979208561035,True,39.63002565296059
MOVE_OPEN2_1H_R1,14,-69,924.75,24,5,0.0,19.2537,79.1188,98.37249999999999,False,정상,RSSI 변화 환경,52.83018867924528,0.9785714285714285,0.7816091954022988,89.60335151278332,52.83018867924528,2.9681026438350386,True,36.19241635536714
MOVE_OPEN2_1H_R1,15,-65,924.75,12,12,0.0,10.2636,70.5642,80.8278,False,정상,RSSI 변화 환경,60.37735849056604,0.9285714285714286,0.9195402298850575,92.47868639700131,60.37735849056604,3.81851632027362,True,50.11363402462282
MOVE_OPEN2_1H_R1,16,-62,960.75,33,23,3.3333,6.0743,28.0305,34.1048,True,혼잡,RSSI 변화 환경,66.0377358490566,0.85,0.6781609195402298,77.79900571748874,77.79900571748874,3.287203868598218,True,41.41608306197276
MOVE_OPEN2_1H_R1,17,-79,960.75,16,5,0.0,6.9114,30.8577,37.7691,False,정상,RSSI 변화 환경,33.9622641509434,0.9785714285714285,0.8735632183908046,93.45672637967897,33.9622641509434,2.9443876751127855,True,35.80420382921792
MOVE_OPEN2_1H_R1,18,-79,960.75,35,5,0.0,5.6398,34.613,40.2528,False,정상,RSSI 변화 환경,33.9622641509434,0.9785714285714285,0.6551724137931034,84.3049610708018,33.9622641509434,1.791641097112878,True,16.933815835186948
MOVE_OPEN2_1H_R1,19,-79,816.5,15,6,0.0,11.8783,9.4229,21.3012,False,정상,RSSI 변화 환경,33.9622641509434,0.9714285714285714,0.8850574712643678,93.52343717859443,33.9622641509434,2.287405786531106,True,25.049452195864113
MOVE_OPEN2_1H_R1,20,-47,1201.0,23,9,0.0,45.6015,45.6562,91.2577,False,정상,RSSI 변화 환경,94.33962264150944,0.95,0.7931034482758621,88.42517913335928,94.33962264150944,3.912151015160334,True,51.64642801068759
